ASMI	CPTI15	CPTI15_sel_CFTI4med	ASMI_EqID	CFTI4med_EqID
@	@	@	18971218_0724_000	16303
@	@		18980116_1210_000	16363
@	@	@	18980304_2105_000	16459
@	@	@	18980423_1822_000	16558
@	@	@	18980825_0000_000	16740
@	@	@	18980912_1414_000	16769
@			18990329_2154_000	16970
@	@	@	18990626_2317_000	17022
@	@		18990626_2320_000	17023
@	@	@	18990719_1318_000	17066
@			18991002_1045_000	17154
@			18991030_1612_000	17173
@	@	@	18991030_1512_000	17172
@			18991112_0500_000	17181
@	@	@	18991115_2340_000	17186
@			18991116_0040_000	17188
@			19001221_0747_000	17461
@	@	@	19001230_2336_000	17473
@	@	@	19010110_0758_000	17485
@	@	@	19010120_0630_000	17500
@	@	@	19010120_0634_000	17501
@	@	@	19010123_0017_000	17502
@			19010416_2200_000	17588
@			19010525_0728_000	17753
@	@		19010525_0359_000	17752
@	@	@	19010731_1038_000	17826
@			19011030_1735_000	17897
@	@		19011030_1449_000	17889
@	@		19011030_1451_000	17890
@			19011108_1818_000	17905
@			19020207_1030_000	17966
@	@	@	19020411_0128_000	18035
@			19021101_0015_000	18319
@			19021102_0030_000	18321
@			19030124_0856_000	18376
@	@	@	19040224_1553_000	18754
@	@		19040225_0029_000	18757
@	@	@	19040225_1847_000	18766
@	@	@	19040610_1115_000	18920
@	@		19040712_0531_000	18958
@			19050105_0302_000	19107
@			19050311_0430_000	19211
@			19050311_0530_000	19212
@			19050311_0116_000	19209
@			19050311_0310_000	19210
@	@	@	19050429_0146_000	19253
@			19050802_0000_000	19307
@	@		19050908_0143_000	19344
@			19050918_0000_000	19491
@			19051122_0612_000	19643
@			19060611_0510_000	19963
@	@	@	19060714_1835_000	20000
@	@	@	19060802_0348_000	20018
@	@	@	19060825_0311_000	20041
@	@		19061110_1755_000	20227
@	@	@	19070425_0452_000	20434
@			19070425_0609_000	20437
@	@	@	19071023_2028_000	20606
@	@	@	19071215_1306_000	20693
@	@	@	19071220_1029_000	20699
@	@	@	19080203_1336_000	20745
@			19080315_0755_000	20794
@			19080315_0300_000	20786
@			19080315_0855_000	20795
@			19080315_0600_000	20788
@	@	@	19080315_0738_000	20792
@			19080315_0900_000	20796
@			19080315_1000_000	20797
@			19080628_0320_000	21120
@	@		19080628_0319_000	21119
@	@	@	19080710_0213_000	21142
@	@	@	19081228_0420_000	21318
@			19090105_0530_000	21509
@			19090105_2000_000	21514
@			19090106_0200_000	21515
@	@	@	19090120_1958_000	42043
@			19090810_0040_000	22483
@	@		19090825_0022_000	22533
@	@		19090825_0030_000	22534
@	@	@	19091224_1840_000	22936
@	@	@	19100122_2030_000	23007
			19100122_2101_000	23010
@	@	@	19100123_0150_000	23012
@	@	@	19100322_2329_000	23158
@			19100322_2332_000	23159
@	@	@	19100607_0204_000	23303
@			19100612_1010_000	23322
@	@		19100629_1352_000	23352
@	@	@	19100906_0320_000	23526
@			19100907_1526_000	23529
@			19100908_0034_000	23530
@	@	@	19110219_0718_000	23756
@	@	@	19110326_2020_000	23794
@	@	@	19110913_2229_000	24012
@	@	@	19110913_2235_000	24014
@	@		19111015_0852_000	24085
@			19120224_0930_000	24183
@	@	@	19120912_2115_000	24285
@	@	@	19121001_1810_000	24294
@	@		19130213_1639_000	24353
@	@	@	19130327_0225_000	24378
@			19130404_1330_000	24383
@	@	@	19130628_0853_000	24440
@	@		19140508_1801_000	24634
@	@		19140515_1306_000	24674
@	@	@	19141026_0345_000	24719
@	@	@	19141026_1622_000	24720
@	@	@	19141027_0112_000	24721
@	@		19150113_0652_000	24751
@	@	@	19150315_1123_000	25025
@	@	@	19150326_2337_000	25042
@	@		19150825_0215_000	25172
@	@	@	19160517_1250_000	25486
@	@	@	19160616_0127_000	25561
@			19160620_1930_000	25580
@	@	@	19160816_0706_000	25719
@			19161106_0635_000	25842
@	@		19161116_0635_000	25849
@			19161230_0120_000	25900
@	@	@	19170426_0935_000	26054
@	@	@	19170512_1534_000	26114
			19170523_0546_000	26158
@			19170613_0659_000	26182
			19180101_0005_000	26420
@	@		19180113_1200_000	26433
@			19180113_1210_000	26434
@	@	@	19180122_1848_000	26449
@	@		19180122_1939_000	26450
@	@		19180424_1421_000	26551
@			19180506_0754_000	26561
@	@	@	19180506_0805_000	26562
@	@		19180719_1903_000	26612
@			19180721_0230_000	26614
@	@	@	19181110_1512_000	26671
@	@	@	19190629_1506_000	26806
@	@		19190910_1657_000	26973
@			19191022_0345_000	27008
@			19191022_0415_000	27009
@	@		19191022_0610_000	27011
@			19191023_0455_000	27013
@			19191024_0600_000	27015
@			19191204_1501_000	27065
@	@	@	19191204_2100_000	27067
@	@	@	19191230_0240_000	42003
			19200816_1443_000	27168
@	@	@	19200907_0555_000	27178
@	@	@	19201006_2247_000	27240
			19201129_1548_000	27284
@			19210104_0920_000	27301
@	@	@	19220524_2117_000	27583
			19220525_0423_000	27584
@	@	@	19240102_0855_000	27930
@	@	@	19250924_1333_000	28415
@			19251028_0817_000	28424
@	@	@	19260101_1804_000	28444
@			19260107_0010_000	28454
@	@		19260628_2115_000	28542
@			19260628_2033_000	28541
@			19260630_1925_000	28545
@			19260630_2251_000	28546
@			19260701_0300_000	28547
@			19261214_2100_000	28610
@	@	@	19270621_1613_000	28681
@			19270628_0411_000	28684
@			19270726_1600_000	28692
@			19270908_1535_000	28707
@			19270913_1200_000	28708
@			19271119_0306_000	28776
@			19271208_1500_000	28832
@			19271208_1700_000	28833
@	@	@	19271210_0200_000	28837
@			19271212_1825_000	28851
@	@	@	19271226_1506_000	28866
@			19280101_1325_000	28881
@	@		19280327_0832_000	29040
@	@		19280613_0800_000	29260
@			19280622_0918_000	29265
@			19280718_0922_000	29308
@	@	@	19280725_0125_000	29321
@			19280726_0620_000	29325
@			19290205_0300_000	29659
@	@		19290410_0543_000	29693
@	@		19290419_0415_000	29717
@	@		19290420_0109_000	29721
@	@		19290422_0825_000	29727
@	@		19290429_1835_000	29745
@			19290503_0200_000	29749
@	@		19290511_1922_000	29754
@	@		19290718_2102_000	29794
@			19290917_1925_000	29826
@			19291024_0735_000	29851
@			19291024_1000_000	29852
@			19291209_1530_000	29869
@			19300205_1140_000	29899
@	@		19300723_0008_000	30013
@	@	@	19300830_2135_000	30064
@	@		19301026_0731_000	30091
@	@		19301030_0713_000	30094
			19301202_1328_000	30151
			19310111_1919_000	30175
@			19310209_0215_000	30195
			19310308_0150_000	30203
@	@	@	19310327_0246_000	30221
@			19310327_0253_000	30222
@			19310424_2110_000	30246
@	@		19310610_1702_000	30320
@	@	@	19310905_0125_000	30363
@	@		19311215_0323_000	30493
@			19320120_0550_000	30518
@			19320120_0558_000	30519
@	@	@	19320219_1257_000	30545
@			19320409_1000_000	30590
@	@		19320419_0017_000	30592
@			19320506_0500_000	30597
@	@	@	19320713_0342_000	30643
@			19320719_1231_000	30645
			19320803_1142_000	30648
@			19321203_0457_000	30673
@			19330205_0330_000	30709
@	@	@	19330926_0333_000	30838
@			19340411_1900_000	30954
@	@	@	19341130_0258_000	31050
@			19350301_1219_000	31082
@			19350301_1238_000	31083
@			19350301_1600_000	31084
@			19350301_1717_000	31085
@	@		19350319_0727_000	31093
@			19350529_1300_000	31108
@			19360613_0035_000	31269
@			19360621_1648_000	31273
@	@	@	19360621_1925_000	31274
@			19360621_1930_000	31276
@			19360621_2036_000	31277
@	@	@	19360622_0344_000	31278
@			19360622_0558_000	31280
@			19360622_1156_000	31281
@			19360623_0435_000	31282
@	@	@	19360731_1446_000	31290
@			19360811_1136_000	31291
@			19360909_0046_000	31294
@	@	@	19361017_0242_000	31308
@			19361017_0528_000	31309
@	@		19361018_0310_000	31316
@	@	@	19370917_1219_000	31448
@			19371017_1000_000	31456
@	@		19371217_0311_000	31487
@			19380304_0200_000	31508
			19380702_0146_000	31541
@	@		19380718_0057_000	31547
@	@		19390211_1117_000	31614
@	@	@	19400115_1319_000	31722
@	@	@	19410522_0616_000	31955
			19420521_0342_000	32142
@	@		19431003_0828_000	32283
@	@	@	19450614_0503_000	32310
@	@	@	19450629_1537_000	32312
@	@	@	19470217_0012_000	32360
@	@		19470226_0542_000	32364
@	@	@	19470511_0632_000	32397
@			19470611_2244_000	32435
@			19470620_2130_000	32437
			19471006_0000_000	32473
@			19471114_0130_000	32488
@	@	@	19480613_0633_000	32553
@			19480702_2041_000	32558
@	@	@	19480818_2112_000	32584
@	@		19480821_0844_000	32585
@	@		19480822_2316_000	32586
@	@		19490309_0416_000	32671
@	@		19510515_2254_000	33063
@	@	@	19520704_2035_000	33186
@	@		19520822_0225_000	33192
@			19521114_0238_000	33201
@	@	@	19530822_0526_000	33242
@	@		19540519_0935_000	33292
@	@	@	19540716_0005_000	33294
			19541123_1300_000	33324
@	@	@	19550312_0657_000	33448
@			19550322_1845_000	33451
@	@	@	19550507_0229_000	33457
@			19551025_0231_000	33519
@	@		19560222_2255_000	33569
@	@		19560426_0300_000	33588
@	@	@	19560526_1840_000	33599
@	@	@	19560603_0145_000	33610
@			19571023_0804_000	33810
@	@	@	19580109_1158_000	33883
@			19580218_0146_000	33894
@	@		19580624_0607_000	33920
@			19590307_1300_000	34000
@	@		19590405_1048_000	34010
@	@		19590426_1445_000	34024
@			19590612_1000_000	34049
@			19590613_1124_000	34051
			19590901_1137_000	34117
			19591007_0830_000	34131
@	@	@	19600323_2310_000	34256
@			19600511_0525_000	34289
@	@	@	19601029_0008_000	34402
@			19601219_1434_000	34425
@	@	@	19610813_2234_000	34523
@			19610813_2306_000	34524
@			19610814_0752_000	34527
@			19610814_0100_000	34525
@	@	@	19610814_0103_000	34526
@			19611031_0000_000	34543
@	@		19611031_1337_000	34545
@			19611101_0000_000	34555
@			19611102_0000_000	34557
@			19611103_0000_000	34565
@			19611106_0000_000	34567
@			19611205_0000_000	34579
@	@		19620511_0105_000	34619
@	@		19620821_1809_000	34639
@	@		19620821_1819_000	34641
@	@		19620916_1449_000	34673
@	@	@	19630108_1351_000	34715
@			19630127_0201_000	34727
@			19630127_0812_000	34728
@	@	@	19630304_2230_000	34758
@	@	@	19630405_1349_000	34774
@	@		19630719_0546_000	34811
@	@	@	19631005_1157_000	34923
@	@	@	19631104_1546_000	34930
@			19650510_0426_000	35173
@			19650510_0441_000	35176
@	@	@	19650510_0503_000	35178
@	@	@	19650723_2314_000	35216
@			19660609_0430_000	35442
@			19670113_1032_000	35584
@	@		19670403_1636_000	35633
@			19670512_1753_000	35648
@	@		19670515_1003_000	35651
@	@	@	19671031_2108_000	35749
@	@	@	19680115_0133_000	35804
@	@	@	19680115_0201_000	35810
@			19690303_2215_000	36352
			19690403_2212_000	36369
@	@		19690417_0912_000	36390
@	@	@	19690624_1325_000	36422
@			19690707_1501_000	36450
			19690708_0809_000	36452
@			19691113_0442_000	36526
@			19700103_2344_000	36548
@			19700104_2230_000	36550
@			19700104_1245_000	36549
@	@	@	19701102_0842_000	36774
@	@	@	19710106_1110_000	36877
@	@		19710206_1809_000	36932
@	@	@	19710715_0133_000	37132
@			19710729_0108_000	37192
@	@	@	19710911_2318_000	37258
@			19710912_0030_000	37259
@			19711012_1144_000	37284
@	@	@	19720125_2025_000	37391
@	@	@	19720204_0242_000	37405
@	@	@	19720204_0919_000	37412
@	@	@	19720205_0127_000	37429
@	@	@	19720205_0708_000	37460
@	@	@	19720205_1514_000	37484
@	@	@	19720206_0134_000	37515
@	@	@	19720614_1855_000	37690
@	@		19731107_1706_000	38178
@			19740114_0846_000	38214
@	@		19740128_1957_000	38246
@	@	@	19741202_0155_000	38537
@	@	@	19750116_0009_000	38578
@	@		19750404_0910_000	38624
@	@	@	19751113_1955_000	38783
@	@		19760506_2000_000	38902
@	@	@	19760911_1635_000	39344
@	@		19760915_0315_000	39402
@	@	@	19760915_0921_000	39414
@	@	@	19780311_1920_000	40131
@	@	@	19780415_2333_000	40169
@	@	@	19781225_2253_000	40436
@			19781230_1038_000	40439
@	@		19790209_1444_000	40471
@	@	@	19790919_2135_000	40785
@	@	@	19801123_1834_000	41752
@	@		19801223_1201_000	41860
@	@	@	19810526_0927_000	42798
@	@	@	19820321_0944_000	42007
@	@	@	19831109_1629_000	42008
@	@		19840429_0502_000	42009
@	@	@	19840507_1749_000	42010
@	@	@	19840511_1042_000	42013
@	@	@	19850815_1858_000	42001
@	@	@	19901213_0024_000	42011
@	@		19970903_2207_000	42854
@	@	@	19970926_0033_000	42855
@	@		19970926_0940_000	42856
@	@		19971014_1523_000	42857
